zi	pinyin
槍	qiāng
槀	gǎo
槨	guǒ
榮	róng
榖	gǔ
榐	zhǎn
樄	chén
樆	lí
槒	xù
槝	dɑo
槙	diān
槉	jí
榢	jià
榗	jiàn
樃	láng
槏	qiǎn
槞	lóng
榓	mì
槈	nòu
榒	nuò
槰	pèng
樥	péng
榩	qián
槗	qiáo
槡	sāng
榝	shā
榺	shèng
榯	shí
榹	sì
榡	sù
槂	sūn
榶	táng
樤	tiáo
榽	xī
樇	xiū
様	yàng
榚	yǎo
榣	yáo
榏	yì
榞	yuán
榬	yuán
榸	zhāi
槜	zuì
槕	zhuō
榟	zǐ
槽	cáo
樘	chēng,táng
樗	chū
樀	dí
樊	fán
橄	gǎn
横	héng,hèng
槲	hú
槥	huì
樫	jiān
槿	jǐn
樛	jiū
槺	kāng
槷	niè
槭	qì
樯	qiáng
橡	xiàng
樱	yīng
樟	zhāng
橥	zhū
檛	zhuā
樂	lè
樁	zhuāng
標	biāo
樞	shū
樏	léi
樓	lóu
樅	cōng
樑	liáng
樣	yàng
槳	jiǎng
橢	tuǒ
槹	gāo
槱	yǒu
樔	cháo
樬	cōng
槯	cuī
槢	xí
樚	lù
槪	gài
樌	guàn
槣	jī
槶	guì
槻	guī
槼	guī
槴	hù
槬	huà
槵	huàn
樭	ji
樖	kē
樠	mán
樐	lǔ
槾	màn
橗	méng
樒	mì
樢	niǎo
槧	qiàn
樈	qíng
槫	tuán
権	quán
槮	sēn
樧	shā
樉	shǎng
樎	sù
樕	sù
樰	xue
樮	yɑn
槸	yì
槦	róng
樍	zé
樝	zhā
樜	zhè
樦	zhù
橙	chéng
橱	chú
樲	èr
橘	jú
橛	jué
橹	lǔ
橇	qiāo
樵	qiáo
檎	qín
檠	qíng
橪	rǎn
橤	ruǐ
檨	shē
橦	tóng
橐	tuó
樨	xī
檃	yǐn
橼	yuán
樾	yuè
檇	zuì
樽	zūn
橜	jué
橈	ráo
樹	shù
樷	cóng
樸	pǔ
檝	jí
橋	qiáo
機	jī
橺	xiàn
橴	zɑ
橧	zēng
橕	chēng
橖	táng
檙	chéng
橻	cū
橁	chūn
橽	tà
檤	dào
橂	diàn
橝	tán
橷	dōu
橔	tuí
橃	fá
橎	fǎn
橰	gāo
橭	gū
橫	héng
橞	huì
橶	jǐ
橌	xiàn
橏	zhǎn
橸	jing
樻	guì
橑	liáo
橯	lào
橉	lìn
橊	liú
橮	liǔ
橅	mó
橣	níng
橠	nuó
橬	qián
橩	qióng
橍	rùn
橵	zān
樿	shàn
橳	sheng
橓	shùn
檧	sōng
檖	suì
橆	wú
橀	xī
橲	xi
樳	xún
樴	zhí
橒	yún
樼	zhēn
樶	zuī
檦	biǎo
檗	bò
檞	jiě
櫆	kuí
檑	lèi
檩	lǐn
檬	méng
檀	tán
檄	xí
檐	yán
檥	yǐ,yī
檉	chēng
檣	qiáng
檔	dàng
檢	jiǎn
檜	guì
櫛	zhì
檘	píng
檚	chǔ
檒	fēng
檊	gàn
檴	huò
檅	huì
檓	huǐ
檕	jì
檟	jiǎ
橿	jiāng
橚	sù
檋	jū
檪	lì
櫣	lián
檁	lǐn
檂	nóng
檏	pǔ
橾	shū
檆	shān
檡	zhái
檈	xuán
檍	yì
檌	zuì
檫	chá
檵	jì
檰	mián
檷	nì
檯	tái
檮	chóu
櫃	guì
檻	jiàn
檸	níng
檳	bīn
檾	qǐng
櫂	zhào
櫈	dèng
櫉	chú
櫄	chūn
檺	gǎo
櫊	ge
櫎	huǎng
櫅	jī
櫭	jué
櫔	lì
櫚	lǘ
櫗	miè
櫁	mì
檽	nòu
櫙	ōu
櫇	pó
檱	qí
櫀	qí
檶	qiān
櫒	sà
檲	tuán
檿	yǎn
檹	yī
檭	yín
檼	yǐn
櫡	zhuó
櫕	cuán
櫜	gāo
櫞	yuán
櫝	dú
櫫	zhū
櫧	zhū
櫟	lì
櫓	lǔ
櫥	chú
櫖	lǜ
櫠	fèi
櫘	huì
櫤	jiɑng
櫵	qiáo
櫐	lěi
櫑	léi
櫋	mián
櫏	qiān
櫦	qing
櫢	sǒu
櫌	yōu
櫲	yù
櫍	zhì
櫶	xiǎn
櫱	niè
櫽	yǐn
櫨	lú
櫪	lì
櫸	jǔ
櫬	chèn
欂	bó
櫮	è
櫰	huái
櫷	gui
櫴	là
櫹	xiāo
櫯	sū
櫩	yán
櫿	yíng
櫼	jiān
櫳	lóng
櫻	yīng
櫺	líng
權	quán
欄	lán
欌	zɑng
欃	chán
欍	jiu
欅	jǔ
欁	nóng
欀	xiāng
櫾	yòu
欋	qú
欉	cóng
欇	shè
欆	shuāng
欈	wéi
欎	yù
欐	lì
欒	luán
欏	luó
欑	cuán
欕	e mi
欓	dǎng
欔	qú
欗	lán
欙	léi
欛	bà
欖	lǎn
欚	lǐ
欝	yù
欘	zhú
欜	náng
欞	líng
欟	guàn
肀	yù
牛	niú
牟	móu,mù
牢	láo
牮	jiàn
牵	qiān
牶	quàn
犁	lí
牽	qiān
犀	xī
犂	lí
犇	bēn
犎	fēng
犖	luò
犛	lí
犘	má
犚	wèi
犟	jiàng
犨	chōu
犩	wéi
犫	chōu
牜	niú
牝	pìn
牞	jiū
牤	māng
牡	mǔ
牣	rèn
牠	tā
牥	fāng
牦	máo
牧	mù
物	wù
牬	bèi
牨	gāng
牫	gē
牪	yàn
牯	gǔ
牳	mǔ
牲	shēng
牴	dǐ
牰	yòu
牱	kē
牭	sì
牷	quán
特	tè
牺	xī
牸	zì
牿	gù
牼	kēng
牻	máng
牾	wǔ
犊	dú
犄	jī
犍	jiān,qián
犋	jù
犉	chún
犅	gāng
犃	pǒu
犈	quán
犆	zhí
犐	kē
犏	piān
犌	jiā
犑	jú
犒	kào
犕	bèi
犓	chú
犗	jiè
犔	xì
犙	sān
犜	dūn
犞	qiáo
犝	tóng
犠	xī
犡	lì
犢	dú
犦	bào
犣	liè
犤	bái
犥	piāo
犧	xī
犪	kuí
爿	pán
牀	chuáng
牁	kē
牂	zāng
牃	dié
牄	qiāng
牅	yōng
牆	qiáng
片	piàn,piān
版	bǎn
牉	pàn
牊	cháo
牍	dú
牌	pái
牋	jiān
牒	dié
牐	zhá
牎	chuāng
牑	biān
牏	yú
牓	bǎng
牔	bó
牖	yǒu
牕	chuāng
牗	yǒu
牘	dú
敁	diān
敊	chù
敆	hé
敍	xù
敠	duō
敧	qī
敥	yàn
敤	kě
敡	yì
敯	mǐn
敮	xiá
敲	qiāo
敱	ái
敺	qū
敽	jiǎo
敼	yǐ
斀	zhuó
斅	xiào
攵	pū
攴	pū
收	shōu
攷	kǎo
改	gǎi
攻	gōng
攸	yōu
攼	gān
攺	yǐ
攽	bān
放	fàng
玫	méi
故	gù
政	zhèng,zhēng
敂	kòu
敃	mǐn
敄	wù
敀	pò
敖	áo
敌	dí
敉	mǐ
效	xiào
敇	cè
敋	gé
敝	bì
敕	chì
敚	duó
敢	gǎn
教	jiào,jiāo
救	jiù
敛	liǎn
敏	mǐn
敔	yǔ
敗	bài
敐	chén
敓	duó
敎	jiào
敘	xù
敒	shēn
敞	chǎng
敦	duì,dūn
敬	jìng
散	sàn,sǎn
敩	xiào
敟	diǎn
敪	duō
敜	niè
敨	tǒu
敫	jiǎo
数	shù,shǔ
敭	yáng
敳	ái
敻	xiòng
敶	chén
敷	fū
敵	dí
數	shù
敹	liáo
整	zhěng
敿	jiǎo
敾	shàn
斁	dù,yì
斃	bì
斂	liǎn
斄	lí
斆	xiào
气	qì
氕	piē
氘	dāo
氖	nǎi
気	qì
氚	chuān
氙	xiān
氜	yáng
氝	nèi
氡	dōng
氟	fú
氢	qīng
氞	nèi
氠	shēn
氨	ān
氦	hài
氩	yà
氧	yǎng
氤	yīn
氥	xī
氣	qì
氪	kè
氫	qīng
氮	dàn
氯	lǜ
氰	qíng
氬	yà
氭	dōng
氲	yūn
氱	yǎng
氳	yūn
欠	qiàn,qiɑn
次	cì
欢	huān
欤	yú
欧	ōu
欣	xīn
欦	qiān
欥	yù
欩	chāo
欪	chù
欨	xū
欱	hē
欬	kài
欮	jué
欯	xì
欴	láng
欫	qì
欰	xù
欭	yì
欸	ǎi,ēi
欷	xī
欲	yù
欵	kuǎn
欳	kuài
欶	shuò
欻	chuā,xū
欿	kǎn
款	kuǎn
欺	qī
欽	qīn
欼	chǐ
歄	guā
欹	qī
歃	shà
歇	xiē
歆	xīn
歈	yú
歂	chuǎn
歁	kǎn
歀	kuǎn
歅	yān
歌	gē
歉	qiàn
歍	wū
歊	xiāo
歋	yē
歔	xū
歎	tàn
歐	ōu
歑	hū
歓	huān
歏	jìn
歒	tì
歙	shè,xī
歘	xū
歕	pēn
歚	shàn
歖	xǐ
歟	yú
歗	xiào
歜	chù
歛	liǎn
歝	yì
歞	è
歠	chuò
歡	huān
犬	quǎn
犮	quǎn
状	zhuàng
狀	zhuàng
狊	jú
猋	biāo
猆	fēi
猒	yàn
猌	yìn
献	xiàn
猷	yóu
獒	áo
獃	dāi
獘	bì
獎	jiǎng
獣	shòu
獸	shòu
獻	xiàn
日	rì
旦	dàn
旧	jiù
旮	gā
旯	lá
旭	xù
旬	xún
早	zǎo
旨	zhǐ
旫	tiāo
旪	xié
旰	gàn
旱	hàn
旷	kuàng
时	shí
旸	yáng
旵	chǎn
旳	dì
昅	jié
旲	tái
旴	xù
昂	áng
昌	chāng
昉	fǎng
昊	hào
昒	hū
昏	hūn
昆	kūn
旻	mín
明	míng
昙	tán
旺	wàng
昔	xī
昕	xīn
易	yì
昀	yún
昃	zè
昇	shēng
昄	bǎn
昁	bèi
旾	chūn
昘	fǎng
昋	guì
昈	hù
昛	jù
旼	mín
昑	qǐn
旹	shí
旽	tūn
旿	wù
昍	xuān
昖	yán
昗	zè
昪	biàn
昶	chǎng
春	chūn
昳	dié,yì
昽	lóng
昴	mǎo
昧	mèi
昵	nì
昰	shì
是	shì
显	xiǎn
星	xīng
昫	xù
昡	xuàn
映	yìng
昱	yù
昝	zǎn
昭	zhāo
昼	zhòu
昨	zuó
昞	bǐng
昺	bǐng
昬	hūn
昹	ǎi
昻	áng
昸	dōng
昲	fèi
昦	hào
昿	kuàng
昤	líng
昩	mò
昷	wēn
昢	pò
昚	shèn
昜	yáng
昣	zhěn
昮	zòng
晁	cháo
晃	huàng,huǎng
晖	huī
晋	jìn
晒	shài
晌	shǎng
晟	shèng
晓	xiǎo
晅	xuǎn,xuān
晏	yàn
晔	yè
晕	yùn,yūn
時	shí
晉	jìn
晐	gāi
晎	hǒng
晄	huǎng
晈	jiǎo
晇	xù
晆	kuí
晠	shèng
晀	tiǎo
晍	tóng
晑	xiǎng
晊	zhì
晡	bū
晨	chén
晗	hán
晧	hào
晦	huì
晚	wǎn
晤	wù
晞	xī
晛	xiàn
晢	zhé
晣	zhé
晝	zhòu
晘	hàn
晥	wǎn
晙	jùn
晜	kūn
晻	àn,ǎn,yǎn
晷	guǐ
晶	jīng
景	jǐng
晾	liàng
普	pǔ
晵	qǐ
晴	qíng
暑	shǔ
晰	xī
暂	zàn
智	zhì
晬	zuì
暎	yìng
晳	xī
晿	chēng
暏	shǔ
暃	fēi
晽	lín
晲	nǐ
晱	shǎn
晪	tiǎn
晩	wǎn
晼	wǎn
暀	wǎng
暁	xiǎo
晹	yì
晭	zhǒu
晫	zhuó
暗	àn
暅	gèng
暌	kuí
暋	mǐn
暖	nuǎn
暐	wěi
暇	xiá
暄	xuān
暍	yē
暈	yùn
暉	huī
暘	yáng
暙	chūn
暕	jián
暓	mào
暔	nán
暒	qíng
暛	suǒ
暊	xǔ
暆	yí
晸	zhěng
暧	ài
暠	gǎo
暨	jì
暝	míng
暮	mù
暢	chàng
曅	yè
暱	nì
暤	hào
暞	jiǎo
暟	kǎi
暦	lì
暯	mù
暜	pǔ
暣	qì
暡	wěng
暥	yàn
暚	yáo
暴	bào,pù
暵	hàn
暹	xiān
曏	xiàng
暫	zàn
曄	yè
暷	chuán
暰	cōng
曃	dài
暭	hào
曂	huàng
暳	huì
暩	jì
暪	mèn
暼	piē
暬	xiè
暶	xuán
暲	zhāng
曈	tóng
暾	tūn
曀	yì
曆	lì
曌	zhào
曇	tán
曊	fèi
曍	hào
曁	jì
暻	jǐng
曔	jìng
暸	liáo
暽	lín
曋	shěn
暺	tǎn
暿	xī
曉	xiǎo
曚	méng
曙	shǔ
曐	xīng
曖	ài
曒	jiǎo
曓	bào
曑	shēn
曕	yàn
曗	yè
曎	yì
曛	xūn
曜	yào
簪	zān
簮	zān
曠	kuàng
曞	lì
曘	rú
曝	bào,pù
曡	dié
曟	chén
曦	xī
曤	huò
曥	lú
曧	róng
曣	yàn
曩	nǎng
曨	lóng
曬	shài
曫	luán
曪	luǒ
曮	yǎn
曭	tǎng
曯	zhú
氏	shì,zhī
氐	dǐ,dī
民	mín
氒	jué
氓	máng,méng
礻	shì
礼	lǐ
祁	qí
礽	réng
祃	mà
社	shè
祀	sì
祂	tā
礿	yuè
祊	bēng
祈	qí
祇	qí
祆	xiān
祎	yī
祉	zhǐ
祅	yāo
祌	zhòng
祋	duì
祍	rèn
祄	xiè
祠	cí
祓	fú
祔	fù
祜	hù
祢	mí
祛	qū
神	shén
祏	shí
祐	yòu
祗	zhī
祝	zhòu,zhù
祖	zǔ
祚	zuò
祕	mì
祙	mèi
祒	tiáo
祑	zhì
祧	tiāo
祫	xiá
祥	xiáng
祯	zhēn
祮	gào
祪	guǐ
祣	lǚ
祤	yǔ
祬	zhī
祩	zhù
祷	dǎo
祸	huò
祲	jìn
祶	dì
祴	gāi
祰	gào
祵	kǔn
祱	shuì
祳	shèn
祦	wú
禅	chán,shàn
祼	guàn
禄	lù
祺	qí
祹	táo
禆	bì
禇	chǔ
禂	dǎo
祻	gù
禍	huò
祾	líng
祿	lù
禃	zhí
祽	zuì
禘	dì
福	fú
禖	méi
禊	xì
禋	yīn
禔	zhī
禎	zhēn
禕	yī
禙	bèi
禈	huī
禓	shāng
禗	sī
禑	xú
禒	xiǎn
禉	yǒu
禐	yuàn
禌	zī
禢	tā
禚	zhuó
禛	zhēn
禡	mà
禣	fu
禞	gào
禝	jì
禠	sī
禟	táng
禤	xuān
禩	sì
禥	qí
禫	dàn
禧	xǐ
禪	shàn
禨	jī
禭	suì
禬	guì
禮	lǐ
禯	nóng
禱	dǎo
禰	mí
禲	lì
禳	ráng
禴	yuè
禵	tí
禷	lèi
禶	zàn
手	shǒu
承	chéng
拜	bài
拏	ná
挛	luán
拿	ná
挈	qiè
拳	quán
挚	zhì
挐	rú
拲	gǒng
挙	jǔ
挲	suō,shā
掰	bāi
掣	chè
掱	pá
掌	zhǎng
掔	qiān
揅	yán
揫	jiū
揧	là
揱	xiāo
搿	gé
摹	mó
搴	qiān
摮	áo
搫	pán
搻	ná
摩	mā,mó
摯	zhì
撃	ji
撆	piē
摰	niè
撀	gòu
撉	dūn
擎	qíng
擘	bò
擧	jǔ
擊	jī
擥	lǎn
擪	yè
攀	pān
攣	luán
殳	shū
殴	ōu
段	duàn
殶	zhù
殷	yān,yīn
殺	shā
殻	ké
殸	qìng
殹	yì
殽	xiáo
殼	ké
殾	xùn
殿	diàn
毂	gǔ,gū
毁	huǐ
毀	huǐ
毄	jī
毃	qiāo
毅	yì
毆	ōu
毈	duàn
毇	huǐ
毉	yī
毊	xiāo
水	shuǐ
氹	dàng
永	yǒng
氷	bīng
氶	zhěng
氺	shuǐ
汆	cuān
氽	tǔn
氼	nì
汞	gǒng
求	qiú
汖	pìn
沓	dá,tà,tɑ
沊	dàn
汬	jǐng
沀	xù
沝	zhuǐ
泵	bèng
泉	quán
泶	xué
泴	guàn
沗	hóng
沯	zá
浆	jiāng
洯	qiè
泰	tài
洜	luò
淼	miǎo
淾	yǐn
湬	qiū
滎	xíng
漦	chí
滕	téng
潁	yǐng
漿	jiāng
漀	qǐng
漐	zhí
澃	jiǒng
澩	xué
濌	tà
濷	fèi
瀪	fàn
灓	luán
灥	xún
瓦	wà,wǎ
瓨	xiáng
瓯	ōu
瓮	wèng
瓪	bǎn
瓭	dǎn
瓬	fǎng
瓫	pén
瓴	líng
瓳	hú
瓵	yí
瓷	cí
瓶	píng
瓸	bǎi wǎ
瓻	chī
瓺	cháng
瓹	juàn
瓿	bù
瓽	dàng
瓾	wā
甁	píng
甀	zhuì
甄	zhēn
甃	zhòu
甆	cí
甂	biān
甅	li wɑ
甍	méng
甈	qì
甉	xián
甇	yīng
甎	zhuān
甌	ōu
甋	dì
甊	lǒu
甏	bèng
甑	zèng
甐	lìn
甒	wǔ
甔	dān
甓	pì
甕	wèng
甖	yīng
甗	yǎn
尣	wāng
尦	liào
尩	wāng
王	wáng,wàng
玌	qiú
玎	dīng
玑	jī
玐	bā
玏	lè
玚	chàng
玓	dì
玕	gān
玖	jiǔ
玛	mǎ
玘	qǐ
玙	yú
玔	chuàn
玒	hóng
玗	yú
玢	bīn,fēn
玞	fū
环	huán
玠	jiè
玦	jué
玭	pín
玱	qiāng
玩	wán
玮	wěi
玡	yá,yà
玥	yuè
玨	jué
玤	bàng
珁	cí
玬	dǎn
玜	hóng
玪	jiān
玟	mín
玣	biàn
玧	mén
玝	wǔ
珌	bì
玻	bō
玳	dài
玷	diàn
珐	fà
珈	jiā
珏	jué
珂	kē
玲	líng
珑	lóng
珉	mín
珀	pò
珊	shān
珅	shēn
珍	zhēn
珎	zhēn
玵	án
玸	fú
玽	gǒu
玾	jiǎ
珇	zǔ
珋	liǔ
玶	píng
珃	rǎn
玿	sháo
珄	shēng
珆	yí
玹	xuán
玴	yì
班	bān
琤	chēng
玼	cǐ,cī
珰	dāng
珥	ěr
珙	gǒng
珩	háng,héng
珞	luò
珽	tǐng
珣	xún
珧	yáo
珠	zhū
珪	guī
琊	yá
珮	pèi
珤	bǎo
珹	chéng
珫	chōng
珖	guāng
珔	jiàn
珓	jiào
珒	jīn
珢	yín
珯	lǎo
珕	lì
珡	qín
珟	sù
珨	xiá
珗	xiān
珦	xiàng
珛	xiù
珝	xǔ
珬	xù
珚	yān
珜	yáng
珱	yīng
珘	zhōu
琀	hán
琎	jīn
珺	jùn
琅	láng
理	lǐ
琏	liǎn
琉	liú
球	qiú
琐	suǒ
琇	xiù
琍	lí
珼	bèi
珵	chéng
珿	chù
珶	dì
珴	é
琒	feng
琈	fú
琌	líng
珻	méi
琷	què
琁	xuán
琑	suo
琓	wɑn
珳	wén
珸	wú
琋	xī
琄	xuàn
琂	yán
琲	bèi
琫	běng
琛	chēn
琮	cóng
琱	diāo
琯	guǎn
琥	hǔ
琚	jū
琨	kūn
琳	lín
琭	lù
琶	pá
琪	qí
琦	qí
琴	qín
琼	qióng
琬	wǎn
珷	wǔ
琰	yǎn
瑛	yīng
琢	zuó,zhuó
琖	zhǎn
琺	fà
瑯	láng
琣	běng
琕	pín
琩	chāng
琡	shū
琗	cuì
琔	diàn
琽	dǔ
琜	lái
琘	mín
琝	mín
琠	tiǎn
琟	wéi
瑘	yé
琙	yù
琸	zhuó
琻	jin
瑳	cuō
瑰	guī
瑚	hú
瑊	jiān
瑁	mào
瑙	nǎo
瑞	ruì
瑟	sè
瑕	xiá
瑄	xuān
瑒	yáng
瑜	yú
瑀	yǔ
瑗	yuàn
瑑	zhuàn
瑇	dài
瑏	chuān
瑃	chūn
瑖	duàn
瑍	huàn
瑝	huáng
瑐	jiǎn
琾	jiè
瑓	liàn
瑂	méi
瑉	mín
瑔	quán
瑈	róu
瑌	ruǎn
瑅	tí
瑋	wěi
瑥	wēn
瑎	xié
瑆	xīng
瑵	zhǎo
瑷	ài
璈	áo
瑨	jìn
璃	lí
瑢	róng
瑭	táng
瑱	tiǎn
瑶	yáo
璉	liǎn
瑪	mǎ
瑣	suǒ
瑲	qiāng
瑠	liú
瑸	bīn
璍	yè
瑮	lì
瑡	shī
瑹	tú
瑫	tāo
瑦	wǔ
璓	xiù
瑤	yáo
瑧	zhēn
瑽	cōng
璁	cōng
璀	cuǐ
璜	huáng
瑾	jǐn
璊	mén
璆	qiú
璅	suǒ
璇	xuán
璎	yīng
璋	zhāng
璂	qí
璡	jīn
瑺	cháng
璄	jǐng
瑻	kūn
璖	qú
璌	yín
瑼	zhuān
璠	fán
璟	jǐng
璘	lín
璞	pú
璕	xún
璢	liú
璣	jī
璒	dēng
璝	guī
璭	guǎn
璤	hui
璥	jǐng
璚	qióng
璙	liáo
璲	suì
璏	zhì
璑	wú
璔	zēng
璨	càn
環	huán
璐	lù
璩	qú
璪	zǎo
璫	dāng
璵	yú
璦	ài
璴	chu
瓂	gài
璯	huì
璬	jiǎo
璱	sè
璛	sù
璮	tǎn
璳	tián
瓁	wò
璿	xuán
瓊	qióng
璸	bīn
璾	jì
璶	jìn
璼	lán
瓀	ruǎn
璹	shú
瓍	suí
瓋	tì
璻	zuǐ
瓅	lì
瓈	lí
瓄	dú
璷	lú
瓃	léi
瓇	róu
瓉	zàn
瓆	zhì
瓒	zàn
瓑	lì
瓌	guī
瓎	là
瓐	lú
瓘	guàn
瓏	lóng
瓖	xiāng
瓔	yīng
瓓	làn
瓙	dào
瓗	qióng
瓚	zàn
瓛	huán
韦	wéi
韧	rèn
韨	fú
韩	hán
韪	wěi
韫	yùn
韬	tāo
文	wén
斈	xué
斉	qí
斋	zhāi
斊	qí
斍	jué
斏	láng
斎	zhāi
斑	bān
斌	bīn
斐	fěi
斒	bān
斓	lán
斔	yǔ
斕	lán
斖	wěi
毌	guàn
毋	wú
毎	měi
毐	ǎi
心	xīn
必	bì
忈	rén
忌	jì
忍	rěn
忐	tǎn
忑	tè
忒	tè,tuī
忘	wàng
志	zhì
忎	rén
応	yīng
忽	hū
念	niàn
怂	sǒng
态	tài
忠	zhōng
忩	cōng
忞	mǐn
忢	wù
忥	xì
怺	yong
怠	dài
怼	duì
急	jí
怒	nù
思	sāi,sī
怹	tān
怨	yuàn
怎	zěn
总	zǒng
怱	cōng
怤	fū
怘	hù
怷	shù
怸	xī
怣	yóu
恶	é,ě,wù,wū
恩	ēn
恚	huì
恝	jiá
恳	kěn
恐	kǒng
恋	liàn
恁	nèn
恧	nǜ
恕	shù
息	xī
恙	yàng
恣	zì
恥	chǐ
恴	dé
恏	hào
恵	huì
恖	sī
恷	qiū
患	huàn
您	nín
悫	què
悉	xī
悬	xuán
恿	yǒng
悠	yōu
悤	cōng
悪	è
悡	lí
悆	yù
悐	tì
悘	yī
悥	yì
悊	zhé
惫	bèi
惩	chéng
惠	huì
惑	huò
惎	jì
惄	nì
惹	rě
惪	dé
惡	è
惥	yǒng
惌	yuān
悳	dé
悹	guàn
惒	hé
惢	suǒ
惖	tì
惁	xī
惉	zhān
惣	zǒng
愁	chóu
慈	cí
感	gǎn,hàn
愍	mǐn
愆	qiān
想	xiǎng
意	yì
愚	yú
愈	yù
愛	ài
愙	kè
惷	chǔn
愂	bèi
愗	mào
慁	hǔn
慝	tè
慇	yīn
愿	yuàn
愨	què
慂	yǒng
愬	sù
態	tài
慐	gōng
愳	jù
愻	xùn
愸	zhěng
憋	biē
憃	chōng
憨	hān
慧	huì
慜	mǐn
慼	qī
慰	wèi
憂	yōu
慶	qìng
慤	què
慮	lǜ
慾	yù
憇	qì
慫	sǒng
慗	chì
慸	dì
慦	jiù
慿	píng
憅	tòng
慭	yìn
慹	zhí
憄	zhī
憝	duì
憩	qì
憙	xǐ
憖	yìn
憲	xiàn
憗	yìn
憊	bèi
憼	jǐng
憠	jué
憥	láo
憑	píng
憌	qióng
懋	mào
懑	mèn
懃	qín
應	yīng
懇	kěn
憵	pī
懕	yān
懟	duì
懣	mèn
懘	chì
懬	kuàng
懖	guō
懲	chéng
懯	fū
懸	xuán
懿	yì
戀	liàn
戁	nǎn
戆	gàng,zhuàng
戅	gàng
戇	gàng
牙	yá
牚	chèng,chēng
爻	yáo
爼	zǔ
爽	shuàng,shuāng
爾	ěr
曰	yuē
曱	yuē
曲	qǔ,qū
曳	yè
更	gèng,gēng
曵	yè
曶	hū
曷	hé
書	shū
曺	cáo
曻	sheng
曹	cáo
曼	màn
曽	zēng
曾	céng,zēng
替	tì
最	zuì
朁	cǎn
朂	xù
會	huì
朅	qiè
朄	yǐn
朇	bì
月	yuè
肊	yì
肌	jī
肋	lē,lèi
有	yòu,yǒu
肎	kěn
肍	qiú
肠	cháng
肚	dù,dǔ
肝	gān
肛	gāng
肓	huāng
肜	róng
肟	wò
肖	xiào,xiāo
肘	zhǒu
肐	gē
肑	bó
肞	chāi
肔	chǐ
肒	huàn
肕	rèn
肗	rǔ
肙	yuān
肮	āng,háng
肪	fáng
肥	féi
肺	fèi
肤	fū
服	fú,fù
肱	gōng
股	gǔ
肩	jiān
肼	jǐng
肯	kěn
肭	nà
朋	péng
肷	qiǎn
朊	ruǎn
肾	shèn
肽	tài
肸	xī
肹	xī
胁	xié
肴	yáo
育	yō,yù
胀	zhàng
肢	zhī
肿	zhǒng
肫	zhūn
肧	pēi
肬	yóu
肶	pí
肦	bān
胏	zǐ
肨	pàng
肣	qín
肻	kěn
肵	qí
肰	rán
肳	wěn
胈	bá
胞	bāo
背	bèi,bēi
胆	dǎn
胨	dòng
朏	fěi
胍	guā
胡	hú
胛	jiǎ
胫	jìng
胩	kǎ
胧	lóng
胪	lú
脉	mài,mò
胖	pán,pàng
胚	pēi
胠	qū
朐	qú
胂	shèn
胜	shèng
胎	tāi
胃	wèi
胥	xū
胤	yìn
胗	zhěn,zhēn
胝	zhī
胄	zhòu
胙	zuò
胇	fèi
胉	bó
胣	chǐ
胊	qú
胅	dié
胐	fěi
胕	fū
胢	qià
朎	líng
胟	mǔ
胒	nì
胓	píng
胑	zhī
胋	tián
胘	xián
胦	yāng
胺	àn,ě
胵	chī
脆	cuì
胴	dòng
胹	ér
胳	gé,gē
胱	guāng
胲	hǎi
胻	héng
脊	jǐ
胶	jiāo
胯	kuà
脍	kuài
朗	lǎng
脒	mǐ
脑	nǎo
能	néng
脓	nóng
朒	nǜ
胼	pián
脐	qí
脎	sà
朔	shuò
朓	tiǎo
脡	tǐng
胸	xiōng
脩	xiū
胭	yān
胰	yí
脏	zàng,zāng
朕	zhèn
脂	zhī
脇	xié
脈	mài
脃	cuì
胷	xiōng
脋	xié
脠	shān
脀	zhēng
胿	guī
脄	méi
脌	nin
胮	pāng
脁	tiǎo
脅	xié
脖	bó
脭	chéng
脞	cuǒ
脰	dòu
脯	fǔ,pú
脝	hēng
脚	jiǎo,jué
朘	juān
脸	liǎn
脟	luán
脶	luó
脢	méi
脲	niào
脬	pāo
脤	shèn
脦	te
脱	tuō
脘	wǎn
望	wàng
脧	zuī
脣	chún
脛	jìng
脗	wěn
朙	míng
脪	xìn
脨	cù
脵	gu
朚	huāng
脥	jiá
朖	lǎng
脷	lì
脳	nǎo
脮	něi
脴	pǐ
脫	tuō
脕	wàn
脙	xiū
脜	róu
腌	ā,yān
朝	cháo,zhāo
腚	dìng
腓	féi
腑	fǔ
腘	guó
腱	jiàn
腈	jīng
腒	jū
腊	là,xī
脾	pí
期	qī
腔	qiāng
腆	tiǎn
腕	wàn
腋	yè
腴	yú
腙	zōng
脹	zhàng
腖	dòng
腎	shèn
腡	luó
腗	pí
脿	biāo
腄	chuí
腏	zhuì
脺	cuī
腅	dàn
腍	rèn
腂	guò
脻	jiē
腃	juàn
脼	liǎng
腀	lún
腉	nái
腇	něi
腁	pián
朞	jī
脽	shuí
朜	tūn
朠	yīng
腤	ān
腷	bì
腠	còu
腭	ě
腹	fù
腼	miǎn
腩	nǎn
腻	nì
腮	sāi
腧	shù
腾	téng
腯	tú
腿	tuǐ
腽	wà
腺	xiàn
腥	xīng
腰	yāo
膇	zhuì
腳	jiǎo
腣	dì
腸	cháng
腫	zhǒng
腦	nǎo
腟	chì
腶	duàn
腞	zhuàn
腵	jiā
腜	méi
腝	ruǎn
